run,modulation_factor_curve,error_curve,chi2_curve,modulation_factor_stokes,error_stokes,polarization_angle,polarization_angle_err,NPIP,w_facto,threshold,remove_noise_value
0,0.298,0.040,1.161,0.295,0.164,3.076,15.538,600,3,8,30
1,0.304,0.040,0.941,0.299,0.129,3.707,11.888,600,3,8,5
10,0.304,0.040,1.034,0.302,0.148,3.264,13.612,600,3,6,20
100,0.283,0.037,0.908,0.281,0.152,3.050,15.105,600,2,3,0
1000,0.280,0.037,0.861,0.278,0.150,3.291,15.038,350,7,10,15
10000,0.301,0.039,1.108,0.299,0.131,3.679,12.140,450,5,9,10
10001,0.290,0.039,1.059,0.284,0.141,3.583,13.800,450,5,9,25
10002,0.291,0.039,1.024,0.290,0.144,3.385,13.864,450,5,9,15
10003,0.302,0.040,1.187,0.297,0.140,3.511,13.029,450,5,2,30
10004,0.329,0.042,1.299,0.325,0.138,3.401,11.716,450,5,2,5
10005,0.329,0.042,1.214,0.326,0.140,3.349,11.860,450,5,2,0
10006,0.319,0.041,1.059,0.314,0.143,3.342,12.621,450,5,2,20
10007,0.325,0.042,1.179,0.323,0.131,3.617,11.153,450,5,2,10
10008,0.313,0.041,1.089,0.305,0.141,3.421,12.849,450,5,2,25
10009,0.329,0.042,1.002,0.321,0.139,3.414,11.961,450,5,2,15
1001,0.291,0.039,1.001,0.287,0.151,3.242,14.714,350,7,4,30
10010,0.268,0.036,0.963,0.263,0.238,2.080,25.706,450,8,8,30
10011,0.275,0.036,1.052,0.275,0.155,3.017,15.858,450,8,8,5
10012,0.275,0.036,1.052,0.275,0.155,3.017,15.858,450,8,8,0
10013,0.266,0.036,0.897,0.265,0.183,2.629,19.507,450,8,8,20
10014,0.278,0.037,0.991,0.274,0.153,3.092,15.599,450,8,8,10
10015,0.259,0.035,0.883,0.256,0.199,2.445,22.090,450,8,8,25
10016,0.270,0.036,0.995,0.267,0.166,2.868,17.503,450,8,8,15
10017,0.268,0.036,1.004,0.261,0.159,3.094,17.110,450,8,6,30
10018,0.288,0.038,0.989,0.284,0.151,3.093,14.831,450,8,6,5
10019,0.288,0.038,0.989,0.284,0.151,3.093,14.831,450,8,6,0
1002,0.308,0.040,0.996,0.307,0.136,3.445,12.272,350,7,4,5
10020,0.278,0.037,0.962,0.273,0.191,2.474,19.799,450,8,6,20
10021,0.281,0.037,1.064,0.281,0.148,3.180,14.670,450,8,6,10
10022,0.266,0.036,0.956,0.262,0.142,3.427,15.196,450,8,6,25
10023,0.278,0.037,0.945,0.276,0.158,2.982,16.109,450,8,6,15
10024,0.264,0.036,1.008,0.263,0.203,2.523,21.829,450,8,10,30
10025,0.275,0.037,0.965,0.271,0.140,3.430,14.464,450,8,10,5
10026,0.275,0.037,0.965,0.271,0.140,3.430,14.464,450,8,10,0
10027,0.271,0.037,0.955,0.261,0.210,2.340,22.840,450,8,10,20
10028,0.275,0.037,0.965,0.271,0.140,3.430,14.464,450,8,10,10
10029,0.269,0.037,1.001,0.263,0.208,2.416,22.388,450,8,10,25
1003,0.313,0.041,0.997,0.308,0.139,3.377,12.463,350,7,4,0
10030,0.269,0.036,0.902,0.260,0.154,3.183,16.598,450,8,10,15
10031,0.272,0.036,1.024,0.267,0.159,3.073,16.699,450,8,4,30
10032,0.288,0.038,1.119,0.288,0.147,3.170,14.186,450,8,4,5
10033,0.291,0.038,1.081,0.290,0.148,3.144,14.232,450,8,4,0
10034,0.275,0.037,1.132,0.274,0.178,2.647,18.337,450,8,4,20
10035,0.290,0.038,1.017,0.285,0.136,3.450,13.270,450,8,4,10
